gemuese;Month;Seasonal
Französische Bohnen;2;FALSE
Stangenbohnen;2;FALSE
Rote Beete;2;TRUE
Schwarze Johannisbeeren/Ribiseln;2;FALSE
Kartoffeln (neu);2;FALSE
Lexel Greens;2;FALSE
Loganbeeren;2;FALSE
Heidelbeeren;2;FALSE
Artischocke;2;FALSE
Pfirsiche;2;FALSE
Fenchel;2;FALSE
Mark;2;FALSE
Okra;2;FALSE
Tomaten;2;FALSE
Cucurbita;2;FALSE
Kartoffeln;2;TRUE
Edel-Pflaume;2;FALSE
Brombeeren;2;FALSE
Nektarinen;2;FALSE
Chinesischer Sellerie;2;FALSE
Zuckermais;2;FALSE
Kohlrübe;2;FALSE
Knollensellerie;2;TRUE
Pastinake;2;TRUE
Rosenkohl;2;TRUE
Grünkohl;2;TRUE
Lauch;2;TRUE
Chicorée;2;TRUE
Zwetschgen;2;FALSE
Melonen;2;FALSE
Pflaumen;2;FALSE
Trauben;2;FALSE
Radicchio;2;FALSE
Endine;2;FALSE
Sojabohnen;2;FALSE
Nüsslisalat;2;FALSE
Topinambur Artischocke;2;FALSE
Holunderbeeren;2;FALSE
Japanische Rübe;2;FALSE
Preiselbeeren;2;FALSE
Apples;2;TRUE
Bananen;2;TRUE
Brokkoli;2;TRUE
Kohl;2;TRUE
Karotten;2;TRUE
Zitrusfrüchte;2;TRUE
Mangos;2;TRUE
Orangen;2;TRUE
Birnen;2;TRUE
Ananas;2;TRUE
Spinat;2;TRUE
Schalotten;3;FALSE
Purpurroter keimender Brokkoli;3;TRUE
Brokkoli (weiß und lila);3;TRUE
Blumenkohl;3;TRUE
Japanischer Senfspinat (Komatsuma);3;TRUE
Mangold;3;FALSE
Früher Rhabarber;3;FALSE
Kohlrabi;3;FALSE
Frühlingsgrün;3;TRUE
Claytonia;3;TRUE
Rhabarber (gezwungen);3;TRUE
Rettiche und Radieschen;3;TRUE
Brunnenkresse;3;TRUE
Salat Zwiebeln;3;TRUE
Broccoli (Kalabrese);3;FALSE
Spargel;3;FALSE
Rhabarber;3;FALSE
Karotten;3;FALSE
Frühkartoffeln;3;FALSE
Stachelbeere;3;FALSE
Barbarakraut;3;FALSE
Rakete;3;FALSE
Erdbeeren;3;FALSE
Chopsuey-Grüns;3;FALSE
Salat;3;FALSE
Pilze;3;FALSE
Sellerie;3;FALSE
Zwiebel;3;FALSE
Rüben;3;FALSE
Squash;3;FALSE
Kaiserschoten;3;FALSE
Frühlingsgrün (unentwickelte Frühlingskohlpflanzen);3;FALSE
Texel-Grüns;3;FALSE
Tomaten (drinnen);3;FALSE
Erbsen (Schale);3;FALSE
Erbsen (Zuckerschnaps);3;FALSE
Rote Johannisbeeren/Ribiseln;3;FALSE
Dicke Bohnen;3;FALSE
Kirschen;3;FALSE
Zucchini;3;FALSE
Aubergine;3;FALSE
Gurke;3;FALSE
Erbsen;3;FALSE
Paprika;3;FALSE
Himbeeren;3;FALSE
Französische Bohnen;3;FALSE
Stangenbohnen;3;FALSE
Rote Beete;3;TRUE
Schwarze Johannisbeeren/Ribiseln;3;FALSE
Kartoffeln (neu);3;FALSE
Lexel Greens;3;FALSE
Loganbeeren;3;FALSE
Heidelbeeren;3;FALSE
Artischocke;3;FALSE
Pfirsiche;3;FALSE
Fenchel;3;FALSE
Mark;3;FALSE
Okra;3;FALSE
Tomaten;3;FALSE
Cucurbita;3;FALSE
Kartoffeln;3;TRUE
Edel-Pflaume;3;FALSE
Brombeeren;3;FALSE
Nektarinen;3;FALSE
Chinesischer Sellerie;3;FALSE
Zuckermais;3;FALSE
Kohlrübe;3;FALSE
Knollensellerie;3;FALSE
Pastinake;3;TRUE
Rosenkohl;3;TRUE
Grünkohl;3;TRUE
Lauch;3;TRUE
Chicorée;3;TRUE
Zwetschgen;3;FALSE
Melonen;3;FALSE
Pflaumen;3;FALSE
Trauben;3;FALSE
Radicchio;3;FALSE
Endine;3;FALSE
Sojabohnen;3;FALSE
Nüsslisalat;3;FALSE
Topinambur Artischocke;3;FALSE
Holunderbeeren;3;FALSE
Japanische Rübe;3;FALSE
Preiselbeeren;3;FALSE
Apples;3;TRUE
Bananen;3;TRUE
Brokkoli;3;TRUE
Kohl;3;TRUE
Karotten;3;TRUE
Zitrusfrüchte;3;TRUE
Mangos;3;TRUE
Orangen;3;TRUE
Birnen;3;TRUE
Ananas;3;TRUE
Spinat;3;TRUE
Schalotten;4;FALSE
Purpurroter keimender Brokkoli;4;TRUE
Brokkoli (weiß und lila);4;TRUE
Blumenkohl;4;TRUE
Japanischer Senfspinat (Komatsuma);4;TRUE
Mangold;4;FALSE
Früher Rhabarber;4;FALSE
Kohlrabi;4;FALSE
Frühlingsgrün;4;TRUE
Claytonia;4;FALSE
Rhabarber (gezwungen);4;FALSE
Rettiche und Radieschen;4;TRUE
Brunnenkresse;4;TRUE
Salat Zwiebeln;4;TRUE
Broccoli (Kalabrese);4;TRUE
Spargel;4;TRUE
Rhabarber;4;TRUE
Karotten;4;FALSE
Frühkartoffeln;4;FALSE
Stachelbeere;4;FALSE
Barbarakraut;4;FALSE
Rakete;4;FALSE
Erdbeeren;4;FALSE
Chopsuey-Grüns;4;FALSE
Salat;4;FALSE
Pilze;4;FALSE
Sellerie;4;FALSE
Zwiebel;4;FALSE
Rüben;4;FALSE
Squash;4;FALSE
Kaiserschoten;4;FALSE
Frühlingsgrün (unentwickelte Frühlingskohlpflanzen);4;FALSE
Texel-Grüns;4;FALSE
Tomaten (drinnen);4;FALSE
Erbsen (Schale);4;FALSE
Erbsen (Zuckerschnaps);4;FALSE
Rote Johannisbeeren/Ribiseln;4;FALSE
Dicke Bohnen;4;FALSE
Kirschen;4;FALSE
Zucchini;4;FALSE
Aubergine;4;FALSE
Gurke;4;FALSE
Erbsen;4;FALSE
Paprika;4;FALSE
Himbeeren;4;FALSE
Französische Bohnen;4;FALSE
Stangenbohnen;4;FALSE
Rote Beete;4;FALSE
Schwarze Johannisbeeren/Ribiseln;4;FALSE
Kartoffeln (neu);4;FALSE
Lexel Greens;4;FALSE
Loganbeeren;4;FALSE
Heidelbeeren;4;FALSE
Artischocke;4;FALSE
Pfirsiche;4;FALSE
Fenchel;4;FALSE
Mark;4;FALSE
Okra;4;FALSE
Tomaten;4;FALSE
Cucurbita;4;FALSE
Kartoffeln;4;TRUE
Edel-Pflaume;4;FALSE
Brombeeren;4;FALSE
Nektarinen;4;FALSE
Chinesischer Sellerie;4;FALSE
Zuckermais;4;FALSE
Kohlrübe;4;FALSE
Knollensellerie;4;FALSE
Pastinake;4;FALSE
Rosenkohl;4;TRUE
Grünkohl;4;TRUE
Lauch;4;TRUE
Chicorée;4;TRUE
Zwetschgen;4;FALSE
Melonen;4;FALSE
Pflaumen;4;FALSE
Trauben;4;FALSE
Radicchio;4;FALSE
Endine;4;FALSE
Sojabohnen;4;FALSE
Nüsslisalat;4;FALSE
Topinambur Artischocke;4;FALSE
Holunderbeeren;4;FALSE
Japanische Rübe;4;FALSE
Preiselbeeren;4;FALSE
Apples;4;TRUE
Bananen;4;TRUE
Brokkoli;4;TRUE
Kohl;4;TRUE
Karotten;4;TRUE
Zitrusfrüchte;4;TRUE
Mangos;4;TRUE
Orangen;4;TRUE
Birnen;4;TRUE
Ananas;4;TRUE
Spinat;4;TRUE
Schalotten;5;FALSE
Purpurroter keimender Brokkoli;5;FALSE
Brokkoli (weiß und lila);5;TRUE
Blumenkohl;5;TRUE
Japanischer Senfspinat (Komatsuma);5;FALSE
Mangold;5;FALSE
Früher Rhabarber;5;FALSE
Kohlrabi;5;FALSE
Frühlingsgrün;5;TRUE
Claytonia;5;FALSE
Rhabarber (gezwungen);5;FALSE
Rettiche und Radieschen;5;TRUE
Brunnenkresse;5;TRUE
Salat Zwiebeln;5;TRUE
Broccoli (Kalabrese);5;FALSE
Spargel;5;TRUE
Rhabarber;5;TRUE
Karotten;5;TRUE
Frühkartoffeln;5;TRUE
Stachelbeere;5;TRUE
Barbarakraut;5;TRUE
Rakete;5;TRUE
Erdbeeren;5;TRUE
Chopsuey-Grüns;5;TRUE
Salat;5;TRUE
Pilze;5;TRUE
Sellerie;5;FALSE
Zwiebel;5;FALSE
Rüben;5;FALSE
Squash;5;FALSE
Kaiserschoten;5;FALSE
Frühlingsgrün (unentwickelte Frühlingskohlpflanzen);5;FALSE
Texel-Grüns;5;FALSE
Tomaten (drinnen);5;FALSE
Erbsen (Schale);5;FALSE
Erbsen (Zuckerschnaps);5;FALSE
Rote Johannisbeeren/Ribiseln;5;FALSE
Dicke Bohnen;5;FALSE
Kirschen;5;FALSE
Zucchini;5;FALSE
Aubergine;5;FALSE
Gurke;5;FALSE
Erbsen;5;FALSE
Paprika;5;FALSE
Himbeeren;5;FALSE
Französische Bohnen;5;FALSE
Stangenbohnen;5;FALSE
Rote Beete;5;FALSE
Schwarze Johannisbeeren/Ribiseln;5;FALSE
Kartoffeln (neu);5;FALSE
Lexel Greens;5;FALSE
Loganbeeren;5;FALSE
Heidelbeeren;5;FALSE
Artischocke;5;FALSE
Pfirsiche;5;FALSE
Fenchel;5;FALSE
Mark;5;FALSE
Okra;5;FALSE
Tomaten;5;FALSE
Cucurbita;5;FALSE
Kartoffeln;5;TRUE
Edel-Pflaume;5;FALSE
Brombeeren;5;FALSE
Nektarinen;5;FALSE
Chinesischer Sellerie;5;FALSE
Zuckermais;5;FALSE
Kohlrübe;5;FALSE
Knollensellerie;5;FALSE
Pastinake;5;FALSE
Rosenkohl;5;FALSE
Grünkohl;5;FALSE
Lauch;5;FALSE
Chicorée;5;TRUE
Zwetschgen;5;FALSE
Melonen;5;FALSE
Pflaumen;5;FALSE
Trauben;5;FALSE
Radicchio;5;FALSE
Endine;5;FALSE
Sojabohnen;5;FALSE
Nüsslisalat;5;FALSE
Topinambur Artischocke;5;FALSE
Holunderbeeren;5;FALSE
Japanische Rübe;5;FALSE
Preiselbeeren;5;FALSE
Apples;5;TRUE
Bananen;5;TRUE
Brokkoli;5;TRUE
Kohl;5;TRUE
Karotten;5;TRUE
Zitrusfrüchte;5;TRUE
Mangos;5;TRUE
Orangen;5;TRUE
Birnen;5;TRUE
Ananas;5;TRUE
Spinat;5;TRUE
Schalotten;6;FALSE
Purpurroter keimender Brokkoli;6;FALSE
Brokkoli (weiß und lila);6;FALSE
Blumenkohl;6;TRUE
Japanischer Senfspinat (Komatsuma);6;FALSE
Mangold;6;FALSE
Früher Rhabarber;6;FALSE
Kohlrabi;6;TRUE
Frühlingsgrün;6;TRUE
Claytonia;6;FALSE
Rhabarber (gezwungen);6;FALSE
Rettiche und Radieschen;6;TRUE
Brunnenkresse;6;TRUE
Salat Zwiebeln;6;TRUE
Broccoli (Kalabrese);6;FALSE
Spargel;6;TRUE
Rhabarber;6;TRUE
Karotten;6;FALSE
Frühkartoffeln;6;FALSE
Stachelbeere;6;TRUE
Barbarakraut;6;TRUE
Rakete;6;TRUE
Erdbeeren;6;TRUE
Chopsuey-Grüns;6;TRUE
Salat;6;TRUE
Pilze;6;TRUE
Sellerie;6;TRUE
Zwiebel;6;TRUE
Rüben;6;TRUE
Squash;6;TRUE
Kaiserschoten;6;TRUE
Frühlingsgrün (unentwickelte Frühlingskohlpflanzen);6;TRUE
Texel-Grüns;6;TRUE
Tomaten (drinnen);6;TRUE
Erbsen (Schale);6;TRUE
Erbsen (Zuckerschnaps);6;TRUE
Rote Johannisbeeren/Ribiseln;6;TRUE
Dicke Bohnen;6;TRUE
Kirschen;6;TRUE
Zucchini;6;TRUE
Aubergine;6;TRUE
Gurke;6;TRUE
Erbsen;6;TRUE
Paprika;6;TRUE
Himbeeren;6;TRUE
Französische Bohnen;6;TRUE
Stangenbohnen;6;TRUE
Rote Beete;6;FALSE
Schwarze Johannisbeeren/Ribiseln;6;FALSE
Kartoffeln (neu);6;FALSE
Lexel Greens;6;FALSE
Loganbeeren;6;FALSE
Heidelbeeren;6;FALSE
Artischocke;6;FALSE
Pfirsiche;6;FALSE
Fenchel;6;FALSE
Mark;6;FALSE
Okra;6;FALSE
Tomaten;6;FALSE
Cucurbita;6;FALSE
Kartoffeln;6;TRUE
Edel-Pflaume;6;FALSE
Brombeeren;6;FALSE
Nektarinen;6;FALSE
Chinesischer Sellerie;6;FALSE
Zuckermais;6;FALSE
Kohlrübe;6;FALSE
Knollensellerie;6;FALSE
Pastinake;6;FALSE
Rosenkohl;6;FALSE
Grünkohl;6;FALSE
Lauch;6;FALSE
Chicorée;6;FALSE
Zwetschgen;6;FALSE
Melonen;6;FALSE
Pflaumen;6;FALSE
Trauben;6;FALSE
Radicchio;6;FALSE
Endine;6;FALSE
Sojabohnen;6;FALSE
Nüsslisalat;6;FALSE
Topinambur Artischocke;6;FALSE
Holunderbeeren;6;FALSE
Japanische Rübe;6;FALSE
Preiselbeeren;6;FALSE
Apples;6;TRUE
Bananen;6;TRUE
Brokkoli;6;TRUE
Kohl;6;TRUE
Karotten;6;TRUE
Zitrusfrüchte;6;TRUE
Mangos;6;TRUE
Orangen;6;TRUE
Birnen;6;TRUE
Ananas;6;TRUE
Spinat;6;TRUE
Schalotten;7;TRUE
Purpurroter keimender Brokkoli;7;FALSE
Brokkoli (weiß und lila);7;FALSE
Blumenkohl;7;TRUE
Japanischer Senfspinat (Komatsuma);7;FALSE
Mangold;7;FALSE
Früher Rhabarber;7;FALSE
Kohlrabi;7;TRUE
Frühlingsgrün;7;TRUE
Claytonia;7;FALSE
Rhabarber (gezwungen);7;FALSE
Rettiche und Radieschen;7;TRUE
Brunnenkresse;7;TRUE
Salat Zwiebeln;7;TRUE
Broccoli (Kalabrese);7;FALSE
Spargel;7;FALSE
Rhabarber;7;TRUE
Karotten;7;FALSE
Frühkartoffeln;7;FALSE
Stachelbeere;7;TRUE
Barbarakraut;7;TRUE
Rakete;7;TRUE
Erdbeeren;7;TRUE
Chopsuey-Grüns;7;TRUE
Salat;7;TRUE
Pilze;7;TRUE
Sellerie;7;TRUE
Zwiebel;7;TRUE
Rüben;7;TRUE
Squash;7;TRUE
Kaiserschoten;7;FALSE
Frühlingsgrün (unentwickelte Frühlingskohlpflanzen);7;FALSE
Texel-Grüns;7;FALSE
Tomaten (drinnen);7;FALSE
Erbsen (Schale);7;TRUE
Erbsen (Zuckerschnaps);7;TRUE
Rote Johannisbeeren/Ribiseln;7;TRUE
Dicke Bohnen;7;TRUE
Kirschen;7;TRUE
Zucchini;7;TRUE
Aubergine;7;TRUE
Gurke;7;TRUE
Erbsen;7;TRUE
Paprika;7;TRUE
Himbeeren;7;TRUE
Französische Bohnen;7;TRUE
Stangenbohnen;7;TRUE
Rote Beete;7;TRUE
Schwarze Johannisbeeren/Ribiseln;7;TRUE
Kartoffeln (neu);7;TRUE
Lexel Greens;7;TRUE
Loganbeeren;7;TRUE
Heidelbeeren;7;TRUE
Artischocke;7;TRUE
Pfirsiche;7;TRUE
Fenchel;7;TRUE
Mark;7;TRUE
Okra;7;TRUE
Tomaten;7;TRUE
Cucurbita;7;TRUE
Kartoffeln;7;FALSE
Edel-Pflaume;7;FALSE
Brombeeren;7;FALSE
Nektarinen;7;FALSE
Chinesischer Sellerie;7;FALSE
Zuckermais;7;FALSE
Kohlrübe;7;FALSE
Knollensellerie;7;FALSE
Pastinake;7;FALSE
Rosenkohl;7;FALSE
Grünkohl;7;FALSE
Lauch;7;FALSE
Chicorée;7;FALSE
Zwetschgen;7;FALSE
Melonen;7;FALSE
Pflaumen;7;FALSE
Trauben;7;FALSE
Radicchio;7;FALSE
Endine;7;FALSE
Sojabohnen;7;FALSE
Nüsslisalat;7;FALSE
Topinambur Artischocke;7;FALSE
Holunderbeeren;7;FALSE
Japanische Rübe;7;FALSE
Preiselbeeren;7;FALSE
Apples;7;TRUE
Bananen;7;TRUE
Brokkoli;7;TRUE
Kohl;7;TRUE
Karotten;7;TRUE
Zitrusfrüchte;7;TRUE
Mangos;7;TRUE
Orangen;7;TRUE
Birnen;7;TRUE
Ananas;7;TRUE
Spinat;7;TRUE
Schalotten;8;TRUE
Purpurroter keimender Brokkoli;8;FALSE
Brokkoli (weiß und lila);8;FALSE
Blumenkohl;8;TRUE
Japanischer Senfspinat (Komatsuma);8;FALSE
Mangold;8;FALSE
Früher Rhabarber;8;FALSE
Kohlrabi;8;TRUE
Frühlingsgrün;8;TRUE
Claytonia;8;FALSE
Rhabarber (gezwungen);8;FALSE
Rettiche und Radieschen;8;TRUE
Brunnenkresse;8;TRUE
Salat Zwiebeln;8;TRUE
Broccoli (Kalabrese);8;FALSE
Spargel;8;FALSE
Rhabarber;8;FALSE
Karotten;8;FALSE
Frühkartoffeln;8;FALSE
Stachelbeere;8;TRUE
Barbarakraut;8;TRUE
Rakete;8;TRUE
Erdbeeren;8;TRUE
Chopsuey-Grüns;8;TRUE
Salat;8;TRUE
Pilze;8;TRUE
Sellerie;8;TRUE
Zwiebel;8;TRUE
Rüben;8;TRUE
Squash;8;TRUE
Kaiserschoten;8;FALSE
Frühlingsgrün (unentwickelte Frühlingskohlpflanzen);8;FALSE
Texel-Grüns;8;FALSE
Tomaten (drinnen);8;FALSE
Erbsen (Schale);8;FALSE
Erbsen (Zuckerschnaps);8;FALSE
Rote Johannisbeeren/Ribiseln;8;FALSE
Dicke Bohnen;8;TRUE
Kirschen;8;TRUE
Zucchini;8;TRUE
Aubergine;8;TRUE
Gurke;8;TRUE
Erbsen;8;TRUE
Paprika;8;TRUE
Himbeeren;8;TRUE
Französische Bohnen;8;TRUE
Stangenbohnen;8;TRUE
Rote Beete;8;TRUE
Schwarze Johannisbeeren/Ribiseln;8;FALSE
Kartoffeln (neu);8;FALSE
Lexel Greens;8;TRUE
Loganbeeren;8;TRUE
Heidelbeeren;8;TRUE
Artischocke;8;TRUE
Pfirsiche;8;TRUE
Fenchel;8;TRUE
Mark;8;TRUE
Okra;8;TRUE
Tomaten;8;TRUE
Cucurbita;8;TRUE
Kartoffeln;8;TRUE
Edel-Pflaume;8;TRUE
Brombeeren;8;TRUE
Nektarinen;8;TRUE
Chinesischer Sellerie;8;TRUE
Zuckermais;8;TRUE
Kohlrübe;8;FALSE
Knollensellerie;8;FALSE
Pastinake;8;FALSE
Rosenkohl;8;FALSE
Grünkohl;8;FALSE
Lauch;8;FALSE
Chicorée;8;FALSE
Zwetschgen;8;FALSE
Melonen;8;FALSE
Pflaumen;8;FALSE
Trauben;8;FALSE
Radicchio;8;FALSE
Endine;8;FALSE
Sojabohnen;8;FALSE
Nüsslisalat;8;FALSE
Topinambur Artischocke;8;FALSE
Holunderbeeren;8;FALSE
Japanische Rübe;8;FALSE
Preiselbeeren;8;FALSE
Apples;8;TRUE
Bananen;8;TRUE
Brokkoli;8;TRUE
Kohl;8;TRUE
Karotten;8;TRUE
Zitrusfrüchte;8;TRUE
Mangos;8;TRUE
Orangen;8;TRUE
Birnen;8;TRUE
Ananas;8;TRUE
Spinat;8;TRUE
Schalotten;9;TRUE
Purpurroter keimender Brokkoli;9;FALSE
Brokkoli (weiß und lila);9;FALSE
Blumenkohl;9;TRUE
Japanischer Senfspinat (Komatsuma);9;TRUE
Mangold;9;FALSE
Früher Rhabarber;9;FALSE
Kohlrabi;9;TRUE
Frühlingsgrün;9;TRUE
Claytonia;9;FALSE
Rhabarber (gezwungen);9;FALSE
Rettiche und Radieschen;9;FALSE
Brunnenkresse;9;FALSE
Salat Zwiebeln;9;TRUE
Broccoli (Kalabrese);9;TRUE
Spargel;9;FALSE
Rhabarber;9;FALSE
Karotten;9;FALSE
Frühkartoffeln;9;FALSE
Stachelbeere;9;FALSE
Barbarakraut;9;FALSE
Rakete;9;FALSE
Erdbeeren;9;TRUE
Chopsuey-Grüns;9;TRUE
Salat;9;TRUE
Pilze;9;TRUE
Sellerie;9;TRUE
Zwiebel;9;TRUE
Rüben;9;TRUE
Squash;9;TRUE
Kaiserschoten;9;FALSE
Frühlingsgrün (unentwickelte Frühlingskohlpflanzen);9;FALSE
Texel-Grüns;9;FALSE
Tomaten (drinnen);9;FALSE
Erbsen (Schale);9;FALSE
Erbsen (Zuckerschnaps);9;FALSE
Rote Johannisbeeren/Ribiseln;9;FALSE
Dicke Bohnen;9;FALSE
Kirschen;9;FALSE
Zucchini;9;FALSE
Aubergine;9;TRUE
Gurke;9;TRUE
Erbsen;9;TRUE
Paprika;9;TRUE
Himbeeren;9;TRUE
Französische Bohnen;9;TRUE
Stangenbohnen;9;TRUE
Rote Beete;9;TRUE
Schwarze Johannisbeeren/Ribiseln;9;FALSE
Kartoffeln (neu);9;FALSE
Lexel Greens;9;FALSE
Loganbeeren;9;FALSE
Heidelbeeren;9;TRUE
Artischocke;9;TRUE
Pfirsiche;9;TRUE
Fenchel;9;TRUE
Mark;9;TRUE
Okra;9;TRUE
Tomaten;9;TRUE
Cucurbita;9;TRUE
Kartoffeln;9;TRUE
Edel-Pflaume;9;FALSE
Brombeeren;9;TRUE
Nektarinen;9;TRUE
Chinesischer Sellerie;9;TRUE
Zuckermais;9;TRUE
Kohlrübe;9;TRUE
Knollensellerie;9;TRUE
Pastinake;9;TRUE
Rosenkohl;9;TRUE
Grünkohl;9;TRUE
Lauch;9;TRUE
Chicorée;9;TRUE
Zwetschgen;9;TRUE
Melonen;9;TRUE
Pflaumen;9;TRUE
Trauben;9;TRUE
Radicchio;9;TRUE
Endine;9;TRUE
Sojabohnen;9;TRUE
Nüsslisalat;9;FALSE
Topinambur Artischocke;9;FALSE
Holunderbeeren;9;FALSE
Japanische Rübe;9;FALSE
Preiselbeeren;9;FALSE
Apples;9;TRUE
Bananen;9;TRUE
Brokkoli;9;TRUE
Kohl;9;TRUE
Karotten;9;TRUE
Zitrusfrüchte;9;TRUE
Mangos;9;TRUE
Orangen;9;TRUE
Birnen;9;TRUE
Ananas;9;TRUE
Spinat;9;TRUE
Schalotten;10;TRUE
Purpurroter keimender Brokkoli;10;FALSE
Brokkoli (weiß und lila);10;FALSE
Blumenkohl;10;TRUE
Japanischer Senfspinat (Komatsuma);10;TRUE
Mangold;10;FALSE
Früher Rhabarber;10;FALSE
Kohlrabi;10;TRUE
Frühlingsgrün;10;TRUE
Claytonia;10;TRUE
Rhabarber (gezwungen);10;FALSE
Rettiche und Radieschen;10;FALSE
Brunnenkresse;10;TRUE
Salat Zwiebeln;10;TRUE
Broccoli (Kalabrese);10;TRUE
Spargel;10;FALSE
Rhabarber;10;FALSE
Karotten;10;FALSE
Frühkartoffeln;10;FALSE
Stachelbeere;10;FALSE
Barbarakraut;10;FALSE
Rakete;10;FALSE
Erdbeeren;10;FALSE
Chopsuey-Grüns;10;TRUE
Salat;10;TRUE
Pilze;10;TRUE
Sellerie;10;TRUE
Zwiebel;10;TRUE
Rüben;10;TRUE
Squash;10;TRUE
Kaiserschoten;10;FALSE
Frühlingsgrün (unentwickelte Frühlingskohlpflanzen);10;FALSE
Texel-Grüns;10;FALSE
Tomaten (drinnen);10;FALSE
Erbsen (Schale);10;FALSE
Erbsen (Zuckerschnaps);10;FALSE
Rote Johannisbeeren/Ribiseln;10;FALSE
Dicke Bohnen;10;FALSE
Kirschen;10;FALSE
Zucchini;10;TRUE
Aubergine;10;FALSE
Gurke;10;FALSE
Erbsen;10;FALSE
Paprika;10;FALSE
Himbeeren;10;FALSE
Französische Bohnen;10;TRUE
Stangenbohnen;10;TRUE
Rote Beete;10;TRUE
Schwarze Johannisbeeren/Ribiseln;10;FALSE
Kartoffeln (neu);10;FALSE
